Pillar,2030 Goal,Baseline / Reference Year,Unit,2030 Target (value),Progress as of FY23/24 (value),% of Target Achieved,Status,Perspective / Path Forward (summary)
Climate,Reduce Scope 1 & 2 emissions by 65% vs. 2010 baseline,2010,%,0.65,0.6,0.923076923076923,On Track / Raised Bar,"We continue to make strong progress, having already exceeded our original goal of 50% and are increasing it to 65%. We have significantly reduced our Scope 2 emissions via the purchase of renewable electricity and have a longstanding focus on increasing energy efficiency. This has driven both cost savings and reductions in Scope 1 and will continue to do so going forward. Finding cost-effective thermal energy solutions for Scope 1 emissions remains a challenge; P&G helped form the Renewable Thermal Collaborative with WWF to advance renewable thermal energy solutions across the industry."
Climate,Purchase 100% renewable electricity,2018,%,1,0.99,0.99,On Track,"P&G is on track to achieve >99% purchased renewable electricity and is focusing on opportunities that support bringing additional renewable capacity online, while exploring cost-effective solutions to address the remaining <1%."
Climate,Reduce supply chain (Scope 3) emissions by 40% per unit of production vs. 2020 baseline,2020,%,0.4,0.09,0.225,Behind Pace,"P&G continues to pursue material efficiency, increased use of recycled/renewable materials, low-carbon alternatives, and renewable energy/carbon capture in its supply chain, including investments with key suppliers projected to reduce several million metric tons of CO2 over the next decade (CCS/CCU, hydrogen utilization, bio-based solutions, renewable energy). Industry-wide challenges outside P&G's direct control (low-carbon solution viability, energy infrastructure, evolving carbon accounting guidelines) represent sources of uncertainty. P&G estimates about three-quarters of this goal may be feasible by 2030."
Climate,Reduce upstream finished product freight emission intensity by 50% vs. 2020 baseline,2020,%,0.5,0.04,0.08,Behind Pace,"P&G reversed a 4% increase (from the 2020 baseline) recorded in 2022 into a 4% decrease by 2024 — a gross reduction of 8% — driven by container fill rates, intermodal transport, and optimized distribution routes. Further reductions depend on alternative-fuel vehicle transportation infrastructure not yet available at scale, an industry-wide constraint tied to future policy developments."
Waste,100% of consumer packaging designed to be recyclable or reusable,2020 (55%),%,1,0.8,0.8,On Track,"Strong progress continues via packaging design work and scaling recycling infrastructure with value-chain partners. Remaining industry-wide challenges concern small-size packaging (under 2x2 inches) and flexible packaging, which require at-scale solutions not yet in place and that may not exist by 2030. P&G is part of a cross-sector coalition on small-size packaging and The Recycling Partnership's Flexibles and Films Coalition. P&G estimates the share of its packaging portfolio without feasible at-scale technical solutions by 2030 to be in the low single digits."
Waste,Reduce virgin petroleum plastic in consumer packaging by 50% per unit of production vs. 2017 baseline,2017,%,0.5,0.21,0.42,On Track,"Progress driven by a multi-faceted strategy: lighter packaging, increased use of recycled materials, and increased use of plastic alternatives. P&G states it is currently on track to achieve this goal by 2030."
Water,Increase water efficiency at P&G facilities by 35% per unit of production vs. 2010 baseline,2010,%,0.35,0.26,0.742857142857143,On Track,"Facilities maintain a sustained focus on driving water efficiency, with strong progress to date; P&G states it is currently on track for the 2030 goal."
Water,Recycle and reuse 5 billion liters of water in P&G facilities annually,n/a,Billion liters,5,3.49,0.698,On Track,P&G has identified innovative site-level solutions to continue significant progress and states it is currently on track for the 2030 goal.
Water,Restore more water than consumed at manufacturing sites in 18 water-stressed areas (+ Mexico City & LA product-use water),n/a,% of goal,1,0.22,0.22,On Track (long lead),"P&G is working with a network of on-the-ground partners on long-term projects that improve, manage, or protect freshwater sources. Currently identified projects are expected to deliver 22% of the goal; the remaining 78% will come from projects not yet identified. P&G states it is on track, but notes natural disturbances (extreme weather, fire, etc.) could affect individual projects and results."
Water,Provide 25 billion liters of clean drinking water via Children's Safe Drinking Water program (target: 2025),n/a,Billion liters,25,23,0.92,On Track,P&G has provided 23 billion liters of clean water through the Children's Safe Drinking Water program to date and states it is on track to achieve the 25-billion-liter goal.
Nature,100% of palm oils used in P&G brands RSPO certified,n/a,%,1,1,1,Maintained,"P&G continues to maintain 100% RSPO certification covering palm oils used in its brands. Supply constraints persist for RSPO-certified palm kernel oil specifically, though the maintenance goal continues to be met overall."
Nature,100% of sourced wood pulp certified by a globally recognized system,n/a,%,1,1,1,Maintained,P&G continues to maintain 100% of sourced wood pulp certified by a globally recognized third-party certification system.
Nature,100% of paper packaging recycled or third-party certified virgin content,n/a,%,1,0.99,0.99,>99% / On Track,"P&G continues to make progress toward this goal and anticipates maintaining these results going forward. Figure is based on supplier self-reported data; responses received by report publication represented 95% of total supply volume, and P&G does not expect the remaining share to materially affect reported results."
Nature,50% of virgin paper packaging FSC certified (original target year: 2025),n/a,%,0.5,0.73,1.46,Exceeded,P&G states it has exceeded this original goal (which had a 2025 target year) and will maintain its preference for FSC certification going forward.
Nature,"Protect, restore or improve more than 1.5 million acres of land",n/a,% of goal,1,1,1,Portfolio Complete,"P&G has completed development of its land-protection project portfolio in partnership with conservation organizations; projects currently in the portfolio are expected to deliver the full 1.5-million-acre goal once fully implemented. P&G notes natural disturbances (extreme weather, fire, etc.) could affect individual projects and results."
Nature,Advance Natural Climate Solutions to balance manufacturing emissions not eliminated this decade,n/a,% of goal,1,0.86,0.86,On Track,"P&G has worked with a network of NGO partners to develop a project portfolio expected to deliver 86% of this goal once fully implemented, focused on projects delivering carbon benefits alongside positive impacts on people and nature. P&G states it is currently on track, noting natural disturbances or changes to carbon accounting could affect individual projects and results."
